label,x,y,plot_type,plot_num
USA,0.0,238459.06420717828,path,0
USA,2.4999999999999996,238459.06420717828,path,0
USA,2.885286793759556,238459.06420717828,path,0
USA,3.3299519528973187,238459.06420717828,path,0
USA,3.843146557419383,238459.06420717828,path,0
USA,4.435432003441858,238459.06420717828,path,0
USA,5.118997353659713,200618.92027752066,path,0
USA,5.9079101847217945,200618.92027752066,path,0
USA,6.818406093878135,200618.92027752066,path,0
USA,7.869222822862506,200618.92027752066,path,0
USA,9.081985875182593,168378.36844235632,path,0
USA,10.481653562710052,168378.36844235632,path,0
USA,12.097030640500044,168378.36844235632,path,0
USA,13.96136110029578,168378.36844235632,path,0
USA,16.11301232223672,134670.14452685186,path,0
USA,18.596264664413823,134670.14452685186,path,0
USA,21.462222739796278,134670.14452685186,path,0
USA,24.769867134344068,134670.14452685186,path,0
USA,28.58726821036072,94462.16904252963,path,0
USA,32.99298697480647,94462.16904252963,path,0
USA,38.07769184203602,94462.16904252963,path,0
USA,43.94602456346896,94462.16904252963,path,0
USA,50.718753724484024,94462.16904252963,path,0
USA,58.535260126878825,54439.581305403815,path,0
USA,67.55640520534546,54439.581305403815,path,0
USA,77.96784150914094,54439.581305403815,path,0
USA,89.98383337770501,54439.581305403815,path,0
USA,103.85166643862104,27296.804323387707,path,0
USA,119.85673667411021,27296.804323387707,path,0
USA,138.32842378757059,27296.804323387707,path,0
USA,159.64686974234107,27296.804323387707,path,0
USA,184.25080197305152,13987.256853608495,path,0
USA,212.64656226898083,13987.256853608495,path,0
USA,245.4185271412236,13987.256853608495,path,0
USA,283.2411341217975,13987.256853608495,path,0
USA,326.89276149244057,9045.403346312138,path,0
USA,377.2717470838921,9045.403346312138,path,0
USA,435.41487580789965,9045.403346312138,path,0
USA,502.5187163899955,9045.403346312138,path,0
USA,579.9642464068231,9045.403346312138,path,0
USA,669.3452724041273,8476.827332236584,path,0
USA,772.5012299732084,8476.827332236584,path,0
USA,891.555038801884,8476.827332236584,path,0
USA,1028.956791745946,8476.827332236584,path,0
USA,1187.5341770295106,10235.353362643154,path,0
USA,1370.550671248548,10235.353362643154,path,0
USA,1581.7727007726908,10235.353362643154,path,0
USA,1825.5471537075318,10235.353362643154,path,0
USA,2106.8908375910737,11453.540964310429,path,0
USA,2431.5937238378133,11453.540964310429,path,0
USA,2806.338103671143,11453.540964310429,path,0
USA,3238.836107738634,11453.540964310429,path,0
USA,3737.9884195239497,8279.777343563977,path,0
USA,4314.0674488314435,8279.777343563977,path,0
USA,4978.9287350005325,8279.777343563977,path,0
USA,5746.254930466804,8279.777343563977,path,0
USA,6631.837385780635,8279.777343563977,path,0
USA,7653.9011310215055,3378.2580140242567,path,0
USA,8833.479941631063,3378.2580140242567,path,0
USA,10194.849207411216,3378.2580140242567,path,0
USA,11766.025513005454,3378.2580140242567,path,0
USA,13579.343211085055,1027.8491511007899,path,0
USA,15672.119853948863,1027.8491511007899,path,0
USA,18087.424177926237,1027.8491511007899,path,0
USA,20874.96244547913,1027.8491511007899,path,0
USA,24092.101385667047,1319.6076145909303,path,0
USA,27805.048784792547,1319.6076145909303,path,0
USA,32090.216023440855,1319.6076145909303,path,0
USA,37035.790600530076,1319.6076145909303,path,0
USA,42743.551006461494,30263.2417470182,path,0
USA,49330.96129493243,30263.2417470182,path,0
USA,56933.58845909295,30263.2417470182,path,0
USA,65707.89236094496,30263.2417470182,path,0
USA,75834.44562992355,30263.2417470182,path,0
USA,87521.64979523803,90788.63383319839,path,0
USA,101010.0241288996,90788.63383319839,path,0
USA,116577.15546257925,90788.63383319839,path,0
USA,134543.41084409386,4301.40998704469,path,0
USA,155278.5305983318,4301.40998704469,path,0
USA,179209.23747590237,4301.40998704469,path,0
USA,206828.01848357648,4301.40998704469,path,0
USA,238703.26012404822,4301.40998704469,path,0
USA,275490.94562530686,4301.40998704469,path,0
USA,317948.1548852119,4301.40998704469,path,0
USA,366948.64495620795,4301.40998704469,path,0
USA,423500.8317120443,1368.373421514108,path,0
USA,488768.5427539789,1368.373421514108,path,0
USA,564094.9686452633,1368.373421514108,path,0
USA,651030.3053833557,1368.373421514108,path,0
USA,751363.6569839389,3702.0906364519733,path,0
USA,867159.8547226558,3702.0906364519733,path,0
USA,1000801.9507638935,3702.0906364519733,path,0
USA,1155040.2606831456,24460.41518431369,path,0
USA,1333048.96416387,24460.41518431369,path,0
USA,1538491.4286947448,24460.41518431369,path,0
USA,1775595.6006100879,48497.45484195907,path,0
USA,2049241.0149991415,48497.45484195907,path,0
USA,2365059.2151229805,48497.45484195907,path,0
USA,2729549.6479414706,32750.99598208171,path,0
USA,3150213.4208466215,32750.99598208171,path,0
USA,3635707.6722771493,14237.27999345239,path,0
