ID,nuc_cov,sd_nuc_cov,mito_cov,wb_cov
PAN_SLO_AD_003,50.566240056497,13.831577969367,39227.2,2216.14
ROU_BUC_AD_001,40.886176327684,8.6959500569005,20111.1,4333.28
ROU_COM_AD_001,65.297469186441,23.989803693643,334.016,0.663823
ROU_GIU_AD_001,74.510512259887,20.994101590135,35232.3,71.9654
ROU_GIU_AD_001_R,33.672669661017,8.9784210371952,2939.63,0.192127
THA_BKK_AD_001,90.976332587571,29.000511193035,17301.8,42.3597
THA_BKK_AD_002,101.71152158192,24.358528570846,7113.72,16.7447
THA_BKK_AD_003,82.654259683616,23.338477700971,25725.6,56.1514
THA_BKK_AD_004,83.283255028249,18.708461000348,4178.11,4.95694
THA_BKK_AD_005,93.556619536723,26.131762043276,7682.07,30.8008
THA_BKK_AD_006,82.06364639548,17.026741477469,8478.85,67.0652
USA_FLO_AD_001,31.850727288136,10.396193507159,39463.4,2427.59
USA_FLO_AD_002,44.669167762712,10.964295915598,22413.2,4830.25
USA_FLO_AD_003,101.05253446328,25.322670350293,37334.4,1055.25
USA_FLO_AD_004,110.31813529944,25.700574866059,1929.73,111.388
USA_FLO_AD_005,101.23994424859,27.856339094104,10778.5,228.916
USA_FLO_AD_006,108.51347228249,24.549259416755,2852.25,99.2321
USA_FLO_AD_007,24.245225163842,6.2531573459476,23548.4,5980.55
USA_FLO_AD_008,113.71218332203,25.047464152487,1106.33,31.2623
USA_FLO_AD_009,110.51621689266,23.615428290444,2568.33,73.247
USA_FLO_AD_010,113.35914181921,26.810522307692,8820.4,78.0496
USA_FLO_AD_011,123.04592253107,28.739573245181,7620.34,248.622
USA_FLO_AD_012,102.36663359322,25.135589696356,5917.27,1260.9
USA_FLO_AD_013,65.32461820339,16.070773642569,35916.8,2429.58
USA_FLO_AD_014,56.715210169492,13.367394950816,20472.4,5130.31
USA_FLO_AD_015,71.77049580791,17.202115129277,51950.7,715.938
USA_FLO_AD_016,92.442088858757,24.151060968247,2112.89,100.798
USA_GEO_AD_001,27.801129310734,8.0200396676575,6956.31,872.292
USA_ILL_AD_001,53.558570677966,21.900690953408,16178,3775.13
USA_ILL_AD_002,30.305080079096,7.5284929079431,26782.7,6756.14
USA_LOU_AD_001,53.712256768362,14.132637867079,26600,4657.61
USA_LOU_AD_002,102.11457273446,31.952923392539,13697.2,401.022
USA_MIS_AD_001,77.914344497175,23.559364093511,21406.4,415.846
USA_MIS_AD_002,117.18138291525,32.872792028122,1770.63,93.263
USA_TEX_AD_001,27.542371107345,8.6212220101285,23373,5243.42
USA_TEX_AD_002,44.945901457627,13.272264457841,24652.9,6111.71
USA_TEX_AD_003,95.289874757062,22.315150895473,4264.2,68.5187
USA_TEX_AD_004,110.68639235028,24.935752601567,2878.88,70.2308
USA_TEX_AD_005,110.56041934463,24.167600665494,2708.8,28.8012
USA_TEX_AD_006,96.087218983051,30.044520648526,25230.4,89.9796
USA_TEX_AD_007,112.60097035028,26.591322588022,2281.46,7.63363
USA_TEX_AD_008,116.53181296045,34.739291788066,9700.04,29.8291
USA_TEX_AD_009,113.02223144633,28.040479759675,2897.24,14.1865
USA_TEX_AD_010,105.62200833898,31.186318423149,19862,220.586
USA_TEX_AD_011,99.085092384181,28.755474740404,32333,522.467
USA_TEX_AD_012,70.990455819209,17.061770848973,33480.7,476.54
USA_TEX_AD_013,50.06853359322,14.878051360727,36055.8,4543.63
USA_TEX_AD_014,101.13492789831,30.386336063494,24700.5,164.1
USA_TEX_AD_015,87.010514112994,27.407091506394,27283.8,466.49
USA_WIS_AD_001,6.7126829932203,4.9112456484369,2891.09,90.2026
VNM_HAI_AD_001,0.067022867683616,0.044726246618981,183.813,15.3997
VNM_HAN_AD_001,0.39147408701695,1.4143182357317,9370.16,1518.69
