label,x,y,plot_type,plot_num
ASIA,0.0,2625.142050411665,path,0
ASIA,1.0,2625.142050411665,path,0
ASIA,1.1686012961754417,2625.142050411665,path,0
ASIA,1.365628989422925,2625.142050411665,path,0
ASIA,1.5958758071343886,2625.142050411665,path,0
ASIA,1.8649425367522756,2625.142050411665,path,0
ASIA,2.17937426574143,2625.142050411665,path,0
ASIA,2.546819591796836,4106.561289881601,path,0
ASIA,2.976216676098792,4106.561289881601,path,0
ASIA,3.478010665388013,4106.561289881601,path,0
ASIA,4.064407771684446,4106.561289881601,path,0
ASIA,4.749672190175987,4106.561289881601,path,0
ASIA,5.550473077848108,4106.561289881601,path,0
ASIA,6.486290033160199,6373.070157311352,path,0
ASIA,7.579886940120865,6373.070157311352,path,0
ASIA,8.857865703088546,6373.070157311352,path,0
ASIA,10.351313341977276,6373.070157311352,path,0
ASIA,12.096558188552802,6373.070157311352,path,0
ASIA,14.136053578404457,6373.070157311352,path,0
ASIA,16.519410534528937,9476.647512205382,path,0
ASIA,19.304604562704803,9476.647512205382,path,0
ASIA,22.559385914131177,9476.647512205382,path,0
ASIA,26.362927620175693,9476.647512205382,path,0
ASIA,30.807751387916703,9476.647512205382,path,0
ASIA,36.00197820417026,9476.647512205382,path,0
ASIA,42.071958394273366,12683.689539172841,path,0
ASIA,49.16534511218716,12683.689539172841,path,0
ASIA,57.454686025014894,12683.689539172841,path,0
ASIA,67.14162056018544,12683.689539172841,path,0
ASIA,78.46178481395239,12683.689539172841,path,0
ASIA,91.69054343382345,12683.689539172841,path,0
ASIA,107.14968790379683,13980.902955058928,path,0
ASIA,125.21526416917104,13980.902955058928,path,0
ASIA,146.32672000904375,13980.902955058928,path,0
ASIA,170.99759466766966,13980.902955058928,path,0
ASIA,199.82801077152155,13980.902955058928,path,0
ASIA,233.51927239976047,13980.902955058928,path,0
ASIA,272.8909244083061,11404.754773021388,path,0
ASIA,318.90068797806134,6540.030758990694,path,0
ASIA,372.66775732240296,6540.030758990694,path,0
ASIA,435.5000242497551,6540.030758990694,path,0
ASIA,508.92589282270063,2736.436901712735,path,0
ASIA,594.7314580098518,2736.436901712735,path,0
ASIA,695.003952706624,2736.436901712735,path,0
ASIA,812.1825199800169,1580.835759116111,path,0
ASIA,949.1175455796844,1580.835759116111,path,0
ASIA,1109.1399939872742,1580.835759116111,path,0
ASIA,1296.1424346135502,5706.0434741298905,path,0
ASIA,1514.673729117389,5706.0434741298905,path,0
ASIA,1770.0496831294708,5706.0434741298905,path,0
ASIA,2068.4823540000316,5706.0434741298905,path,0
ASIA,2417.231160000468,5706.0434741298905,path,0
ASIA,2824.7794667322137,5706.0434741298905,path,0
ASIA,3301.0409462330413,5706.0434741298905,path,0
ASIA,3857.6007284961383,5706.0434741298905,path,0
ASIA,4507.997211447921,5706.0434741298905,path,0
ASIA,5268.051384453322,5706.0434741298905,path,0
ASIA,6156.251676190982,13884.084227133908,path,0
ASIA,7194.203688379025,13884.084227133908,path,0
ASIA,8407.155755189873,13884.084227133908,path,0
ASIA,9824.613112663721,13884.084227133908,path,0
ASIA,11481.055617881075,13884.084227133908,path,0
ASIA,13416.776476518164,13884.084227133908,path,0
ASIA,15678.8623809553,13884.084227133908,path,0
ASIA,18322.338900940773,34618.29598792221,path,0
ASIA,21411.508988605106,34618.29598792221,path,0
ASIA,25021.517157156046,34618.29598792221,path,0
ASIA,29240.17738212867,34618.29598792221,path,0
ASIA,34170.1091891554,34618.29598792221,path,0
ASIA,39931.23388890337,34618.29598792221,path,0
ASIA,46663.6916804572,34618.29598792221,path,0
ASIA,54531.25058211358,74226.58537009804,path,0
ASIA,63725.29011232573,74226.58537009804,path,0
ASIA,74469.45662441991,74226.58537009804,path,0
ASIA,87025.10353677813,74226.58537009804,path,0
ASIA,101697.64879288094,74226.58537009804,path,0
ASIA,118844.0041973555,64979.70111085016,path,0
ASIA,138881.25734770956,64979.70111085016,path,0
ASIA,162296.81735100847,64979.70111085016,path,0
ASIA,189660.27112153743,64979.70111085016,path,0
ASIA,221637.23866561436,64979.70111085016,path,0
ASIA,259005.5643853832,64979.70111085016,path,0
ASIA,302674.23825741065,64979.70111085016,path,0
ASIA,353705.5071465245,64979.70111085016,path,0
ASIA,413340.71411582135,64979.70111085016,path,0
ASIA,483030.4942778316,64979.70111085016,path,0
ASIA,564470.0617053382,64979.70111085016,path,0
ASIA,659640.4457610912,64979.70111085016,path,0
ASIA,770856.6799261573,64979.70111085016,path,0
ASIA,900824.115327205,64979.70111085016,path,0
ASIA,1052704.2287974674,64979.70111085016,path,0
ASIA,1230191.5262620915,64979.70111085016,path,0
ASIA,1437603.4121339254,64979.70111085016,path,0
ASIA,1679985.2108059428,64979.70111085016,path,0
ASIA,1963232.8949034014,64979.70111085016,path,0
ASIA,2294236.50567838,64979.70111085016,path,0
ASIA,2681047.7542687706,64979.70111085016,path,0
ASIA,3133075.8807467427,64979.70111085016,path,0
ASIA,3661316.5352566643,64979.70111085016,path,0
ASIA,4278619.2488095155,64979.70111085016,path,0
ASIA,5000000.0,56712.655201033886,path,0
EUR,0.0,35063.89274366614,path,1
EUR,1.0,35063.89274366614,path,1
EUR,1.1686012961754417,35063.89274366614,path,1
EUR,1.365628989422925,35063.89274366614,path,1
EUR,1.5958758071343886,35063.89274366614,path,1
EUR,1.8649425367522756,35063.89274366614,path,1
EUR,2.17937426574143,35063.89274366614,path,1
EUR,2.546819591796836,35063.89274366614,path,1
EUR,2.976216676098792,35063.89274366614,path,1
EUR,3.478010665388013,35063.89274366614,path,1
EUR,4.064407771684446,35063.89274366614,path,1
EUR,4.749672190175987,35063.89274366614,path,1
EUR,5.550473077848108,24863.710020941144,path,1
EUR,6.486290033160199,24863.710020941144,path,1
EUR,7.579886940120865,24863.710020941144,path,1
EUR,8.857865703088546,24863.710020941144,path,1
EUR,10.351313341977276,24863.710020941144,path,1
EUR,12.096558188552802,24863.710020941144,path,1
EUR,14.136053578404457,24863.710020941144,path,1
EUR,16.519410534528937,24863.710020941144,path,1
EUR,19.304604562704803,24863.710020941144,path,1
EUR,22.559385914131177,24863.710020941144,path,1
EUR,26.362927620175693,18467.344973403644,path,1
EUR,30.807751387916703,18467.344973403644,path,1
EUR,36.00197820417026,14321.870798148957,path,1
EUR,42.071958394273366,14321.870798148957,path,1
EUR,49.16534511218716,14321.870798148957,path,1
EUR,57.454686025014894,14321.870798148957,path,1
EUR,67.14162056018544,9986.948732311284,path,1
EUR,78.46178481395239,9986.948732311284,path,1
EUR,91.69054343382345,9986.948732311284,path,1
EUR,107.14968790379683,5898.872642593183,path,1
EUR,125.21526416917104,5898.872642593183,path,1
EUR,146.32672000904375,5898.872642593183,path,1
EUR,170.99759466766966,5898.872642593183,path,1
EUR,199.82801077152155,3409.9582685578293,path,1
EUR,233.51927239976047,3409.9582685578293,path,1
EUR,272.8909244083061,3409.9582685578293,path,1
