label,x,y,plot_type,plot_num
AUS,0.0,20799.16612163518,path,0
AUS,2.4999999999999996,20799.16612163518,path,0
AUS,2.87609930781755,20799.16612163518,path,0
AUS,3.3087788913714364,20799.16612163518,path,0
AUS,3.806550671677877,20799.16612163518,path,0
AUS,4.37920710079407,20799.16612163518,path,0
AUS,5.038013804553411,18572.85496187494,path,0
AUS,5.795931206420532,18572.85496187494,path,0
AUS,6.66786949237768,18572.85496187494,path,0
AUS,7.6709819326580835,18572.85496187494,path,0
AUS,8.82500233071954,16552.831523934365,path,0
AUS,10.152633237948288,16552.831523934365,path,0
AUS,11.679992571275411,16552.831523934365,path,0
AUS,13.437127419823724,16552.831523934365,path,0
AUS,15.458605148484498,16552.831523934365,path,0
AUS,17.784193426952438,14504.811872588349,path,0
AUS,20.45964256214052,14504.811872588349,path,0
AUS,23.537585524466714,14504.811872588349,path,0
AUS,27.07857337384605,14504.811872588349,path,0
AUS,31.152266454882156,12311.070333441365,path,0
AUS,35.838804795133754,12311.070333441365,path,0
AUS,41.23038466571697,12311.070333441365,path,0
AUS,47.43307231924796,12311.070333441365,path,0
AUS,54.56889058601957,10117.101053759148,path,0
AUS,62.778219377128956,10117.101053759148,path,0
AUS,72.22255731863159,10117.101053759148,path,0
AUS,83.08769884517179,10117.101053759148,path,0
AUS,95.58738925470068,10117.101053759148,path,0
AUS,109.96752962861258,8224.857462856951,path,0
AUS,126.51101433890332,8224.857462856951,path,0
AUS,145.5432963085663,8224.857462856951,path,0
AUS,167.4387895082209,8224.857462856951,path,0
AUS,192.6282346425611,6801.472232954989,path,0
AUS,221.60717292863447,6801.472232954989,path,0
AUS,254.94569466697996,6801.472232954989,path,0
AUS,293.299654385106,6801.472232954989,path,0
AUS,337.42357318405215,5796.070135413709,path,0
AUS,388.1854821103904,5796.070135413709,path,0
AUS,446.58399856100647,5796.070135413709,path,0
AUS,513.7679716574816,5796.070135413709,path,0
AUS,591.0590830651638,5796.070135413709,path,0
AUS,679.9778478731969,4885.096551635066,path,0
AUS,782.2735270397478,4885.096551635066,path,0
AUS,899.9585398572042,4885.096551635066,path,0
AUS,1035.3480534191197,4885.096551635066,path,0
AUS,1191.1055279155903,3543.7034348806865,path,0
AUS,1370.2951137502748,3543.7034348806865,path,0
AUS,1576.4419312651737,3543.7034348806865,path,0
AUS,1813.6014189305315,3543.7034348806865,path,0
AUS,2086.439114257212,1977.6063300322273,path,0
AUS,2400.3224369274503,1977.6063300322273,path,0
AUS,2761.4262797543906,1977.6063300322273,path,0
AUS,3176.8544847163157,1977.6063300322273,path,0
AUS,3654.779593811871,1977.6063300322273,path,0
AUS,4204.603623995209,951.3773004939854,path,0
AUS,4837.143029047914,951.3773004939854,path,0
AUS,5564.841487063674,951.3773004939854,path,0
AUS,6402.014699623289,951.3773004939854,path,0
AUS,7365.132018489724,895.6131835611789,path,0
AUS,8473.140440145271,895.6131835611789,path,0
AUS,9747.837341977072,895.6131835611789,path,0
AUS,11214.299292791336,895.6131835611789,path,0
AUS,12901.375373462393,5503.463953979888,path,0
AUS,14842.254712603832,5503.463953979888,path,0
AUS,17075.119402148648,5503.463953979888,path,0
AUS,19643.895637368703,5503.463953979888,path,0
AUS,22599.117858190537,5503.463953979888,path,0
AUS,25998.922891691625,333443.98218893236,path,0
AUS,29910.193653118396,333443.98218893236,path,0
AUS,34409.874904969096,333443.98218893236,path,0
AUS,39586.48695850805,333443.98218893236,path,0
AUS,45541.86709611741,2201671.9595428025,path,0
AUS,52393.17297274476,2201671.9595428025,path,0
AUS,60275.18740851056,2201671.9595428025,path,0
AUS,69342.96991367616,2201671.9595428025,path,0
AUS,79774.9071082949,430807.80759273923,path,0
AUS,91776.22204615037,4935.3796901102,path,0
AUS,105583.01148041716,4935.3796901102,path,0
AUS,121466.89049444813,4935.3796901102,path,0
AUS,139740.33586953304,4935.3796901102,path,0
AUS,160762.8333074221,4935.3796901102,path,0
AUS,184947.94943930602,4935.3796901102,path,0
AUS,212771.46774586532,4935.3796901102,path,0
AUS,244780.74844288308,4935.3796901102,path,0
AUS,281605.4964654552,4935.3796901102,path,0
AUS,323970.1493847647,1274.8259657669926,path,0
AUS,372708.1289596282,1274.8259657669926,path,0
AUS,428778.2366875044,1274.8259657669926,path,0
AUS,493283.51589766465,1274.8259657669926,path,0
AUS,567492.9514524313,2748.1643159871933,path,0
AUS,652866.4339454706,2748.1643159871933,path,0
AUS,751083.4795071523,2748.1643159871933,path,0
AUS,864076.2702094873,11721.377374830392,path,0
AUS,994067.6650604291,11721.377374830392,path,0
AUS,1143614.9293616437,11721.377374830392,path,0
AUS,1315660.0426987363,25390.843652855245,path,0
AUS,1513587.575251618,25390.843652855245,path,0
AUS,1741291.2710009695,27834.410060469454,path,0
AUS,2003250.6476938487,27834.410060469454,path,0
AUS,2304619.1204869356,27834.410060469454,path,0
AUS,2651325.3828862244,21158.34330738248,path,0
