label,x,y,plot_type,plot_num
AUS,0.0,20799.16612163518,path,0
AUS,1.0,20799.16612163518,path,0
AUS,1.1504397231270203,20799.16612163518,path,0
AUS,1.3235115565485747,20799.16612163518,path,0
AUS,1.5226202686711507,20799.16612163518,path,0
AUS,1.751682840317628,20799.16612163518,path,0
AUS,2.0152055218213647,18572.85496187494,path,0
AUS,2.318372482568213,18572.85496187494,path,0
AUS,2.667147796951072,18572.85496187494,path,0
AUS,3.0683927730632337,18572.85496187494,path,0
AUS,3.5300009322878165,16552.831523934365,path,0
AUS,4.061053295179316,16552.831523934365,path,0
AUS,4.671997028510165,16552.831523934365,path,0
AUS,5.37485096792949,16552.831523934365,path,0
AUS,6.1834420593937995,16552.831523934365,path,0
AUS,7.113677370780977,14504.811872588349,path,0
AUS,8.183857024856207,14504.811872588349,path,0
AUS,9.415034209786686,14504.811872588349,path,0
AUS,10.831429349538421,14504.811872588349,path,0
AUS,12.460906581952864,12311.070333441365,path,0
AUS,14.335521918053503,12311.070333441365,path,0
AUS,16.492153866286788,12311.070333441365,path,0
AUS,18.97322892769919,12311.070333441365,path,0
AUS,21.82755623440783,10117.101053759148,path,0
AUS,25.111287750851584,10117.101053759148,path,0
AUS,28.889022927452636,10117.101053759148,path,0
AUS,33.23507953806872,10117.101053759148,path,0
AUS,38.23495570188028,10117.101053759148,path,0
AUS,43.98701185144504,8224.857462856951,path,0
AUS,50.604405735561336,8224.857462856951,path,0
AUS,58.21731852342653,8224.857462856951,path,0
AUS,66.97551580328837,8224.857462856951,path,0
AUS,77.05129385702445,6801.472232954989,path,0
AUS,88.6428691714538,6801.472232954989,path,0
AUS,101.97827786679198,6801.472232954989,path,0
AUS,117.31986175404242,6801.472232954989,path,0
AUS,134.96942927362088,5796.070135413709,path,0
AUS,155.27419284415618,5796.070135413709,path,0
AUS,178.6335994244026,5796.070135413709,path,0
AUS,205.50718866299263,5796.070135413709,path,0
AUS,236.42363322606553,5796.070135413709,path,0
AUS,271.9911391492788,4885.096551635066,path,0
AUS,312.90941081589915,4885.096551635066,path,0
AUS,359.9834159428817,4885.096551635066,path,0
AUS,414.13922136764785,4885.096551635066,path,0
AUS,476.4422111662361,3543.7034348806865,path,0
AUS,548.11804550011,3543.7034348806865,path,0
AUS,630.5767725060695,3543.7034348806865,path,0
AUS,725.4405675722127,3543.7034348806865,path,0
AUS,834.575645702885,1977.6063300322273,path,0
AUS,960.1289747709801,1977.6063300322273,path,0
AUS,1104.5705119017564,1977.6063300322273,path,0
AUS,1270.7417938865262,1977.6063300322273,path,0
AUS,1461.9118375247485,1977.6063300322273,path,0
AUS,1681.8414495980837,951.3773004939854,path,0
AUS,1934.8572116191658,951.3773004939854,path,0
AUS,2225.93659482547,951.3773004939854,path,0
AUS,2560.8058798493157,951.3773004939854,path,0
AUS,2946.05280739589,895.6131835611789,path,0
AUS,3389.2561760581084,895.6131835611789,path,0
AUS,3899.1349367908297,895.6131835611789,path,0
AUS,4485.719717116535,895.6131835611789,path,0
AUS,5160.550149384957,5503.463953979888,path,0
AUS,5936.901885041533,5503.463953979888,path,0
AUS,6830.04776085946,5503.463953979888,path,0
AUS,7857.558254947482,5503.463953979888,path,0
AUS,9039.647143276216,5503.463953979888,path,0
AUS,10399.56915667665,333443.98218893236,path,0
AUS,11964.07746124736,333443.98218893236,path,0
AUS,13763.949961987639,333443.98218893236,path,0
AUS,15834.594783403221,333443.98218893236,path,0
AUS,18216.746838446965,2201671.9595428025,path,0
AUS,20957.269189097904,2201671.9595428025,path,0
AUS,24110.074963404226,2201671.9595428025,path,0
AUS,27737.187965470468,2201671.9595428025,path,0
AUS,31909.96284331796,430807.80759273923,path,0
AUS,36710.48881846015,4935.3796901102,path,0
AUS,42233.20459216687,4935.3796901102,path,0
AUS,48586.75619777926,4935.3796901102,path,0
AUS,55896.13434781321,4935.3796901102,path,0
AUS,64305.13332296884,4935.3796901102,path,0
AUS,73979.17977572241,4935.3796901102,path,0
AUS,85108.58709834614,4935.3796901102,path,0
AUS,97912.29937715323,4935.3796901102,path,0
AUS,112642.1985861821,4935.3796901102,path,0
AUS,129588.05975390591,1274.8259657669926,path,0
AUS,149083.25158385126,1274.8259657669926,path,0
AUS,171511.2946750018,1274.8259657669926,path,0
AUS,197313.40635906588,1274.8259657669926,path,0
AUS,226997.18058097252,2748.1643159871933,path,0
AUS,261146.57357818825,2748.1643159871933,path,0
AUS,300433.391802861,2748.1643159871933,path,0
AUS,345630.50808379496,11721.377374830392,path,0
AUS,397627.0660241717,11721.377374830392,path,0
AUS,457445.9717446575,11721.377374830392,path,0
AUS,526264.0170794947,25390.843652855245,path,0
AUS,605435.0301006472,25390.843652855245,path,0
AUS,696516.5084003878,27834.410060469454,path,0
AUS,801300.2590775396,27834.410060469454,path,0
AUS,921847.6481947743,27834.410060469454,path,0
AUS,1060530.1531544898,21158.34330738248,path,0
