label,x,y,plot_type,plot_num
ASIA,0.0,2949.843435351636,path,0
ASIA,4.0,2949.843435351636,path,0
ASIA,4.674405184701767,2949.843435351636,path,0
ASIA,5.4625159576917,2949.843435351636,path,0
ASIA,6.383503228537554,2949.843435351636,path,0
ASIA,7.4597701470091025,2949.843435351636,path,0
ASIA,8.71749706296572,2949.843435351636,path,0
ASIA,10.187278367187345,4614.498046277822,path,0
ASIA,11.904866704395168,4614.498046277822,path,0
ASIA,13.912042661552052,4614.498046277822,path,0
ASIA,16.257631086737785,4614.498046277822,path,0
ASIA,18.99868876070395,4614.498046277822,path,0
ASIA,22.20189231139243,4614.498046277822,path,0
ASIA,25.945160132640797,7161.349292939111,path,0
ASIA,30.31954776048346,7161.349292939111,path,0
ASIA,35.431462812354184,7161.349292939111,path,0
ASIA,41.405253367909104,7161.349292939111,path,0
ASIA,48.38623275421121,7161.349292939111,path,0
ASIA,56.54421431361783,7161.349292939111,path,0
ASIA,66.07764213811575,10648.805251752648,path,0
ASIA,77.21841825081921,10648.805251752648,path,0
ASIA,90.2375436565247,10648.805251752648,path,0
ASIA,105.45171048070277,10648.805251752648,path,0
ASIA,123.23100555166681,10648.805251752648,path,0
ASIA,144.00791281668103,10648.805251752648,path,0
ASIA,168.28783357709347,14252.523331946917,path,0
ASIA,196.66138044874864,14252.523331946917,path,0
ASIA,229.81874410005958,14252.523331946917,path,0
ASIA,268.5664822407418,14252.523331946917,path,0
ASIA,313.84713925580957,14252.523331946917,path,0
ASIA,366.7621737352938,14252.523331946917,path,0
ASIA,428.5987516151873,15710.187871853079,path,0
ASIA,500.86105667668414,15710.187871853079,path,0
ASIA,585.306880036175,15710.187871853079,path,0
ASIA,683.9903786706786,15710.187871853079,path,0
ASIA,799.3120430860862,15710.187871853079,path,0
ASIA,934.0770895990419,15710.187871853079,path,0
ASIA,1091.5636976332244,12815.398311004437,path,0
ASIA,1275.6027519122454,7348.961096555199,path,0
ASIA,1490.6710292896119,7348.961096555199,path,0
ASIA,1742.0000969990203,7348.961096555199,path,0
ASIA,2035.7035712908025,3074.90424356482,path,0
ASIA,2378.9258320394074,3074.90424356482,path,0
ASIA,2780.015810826496,3074.90424356482,path,0
ASIA,3248.7300799200675,1776.367867661299,path,0
ASIA,3796.4701823187374,1776.367867661299,path,0
ASIA,4436.559975949097,1776.367867661299,path,0
ASIA,5184.569738454201,6411.8186980981,path,0
ASIA,6058.694916469556,6411.8186980981,path,0
ASIA,7080.198732517883,6411.8186980981,path,0
ASIA,8273.929416000126,6411.8186980981,path,0
ASIA,9668.924640001873,6411.8186980981,path,0
ASIA,11299.117866928855,6411.8186980981,path,0
ASIA,13204.163784932165,6411.8186980981,path,0
ASIA,15430.402913984553,6411.8186980981,path,0
ASIA,18031.988845791682,6411.8186980981,path,0
ASIA,21072.205537813286,6411.8186980981,path,0
ASIA,24625.006704763928,15601.39372528721,path,0
ASIA,28776.8147535161,15601.39372528721,path,0
ASIA,33628.62302075949,15601.39372528721,path,0
ASIA,39298.452450654884,15601.39372528721,path,0
ASIA,45924.2224715243,15601.39372528721,path,0
ASIA,53667.105906072655,15601.39372528721,path,0
ASIA,62715.4495238212,15601.39372528721,path,0
ASIA,73289.35560376309,38900.20090418283,path,0
ASIA,85646.03595442043,38900.20090418283,path,0
ASIA,100086.06862862418,38900.20090418283,path,0
ASIA,116960.70952851468,38900.20090418283,path,0
ASIA,136680.4367566216,38900.20090418283,path,0
ASIA,159724.93555561348,38900.20090418283,path,0
ASIA,186654.7667218288,38900.20090418283,path,0
ASIA,218125.0023284543,83407.60285646845,path,0
ASIA,254901.16044930293,83407.60285646845,path,0
ASIA,297877.82649767963,83407.60285646845,path,0
ASIA,348100.4141471125,83407.60285646845,path,0
ASIA,406790.59517152375,83407.60285646845,path,0
ASIA,475376.016789422,73016.98006128629,path,0
ASIA,555525.0293908382,73016.98006128629,path,0
ASIA,649187.2694040339,73016.98006128629,path,0
ASIA,758641.0844861497,73016.98006128629,path,0
ASIA,886548.9546624575,73016.98006128629,path,0
ASIA,1036022.2575415327,73016.98006128629,path,0
ASIA,1210696.9530296426,73016.98006128629,path,0
ASIA,1414822.028586098,73016.98006128629,path,0
ASIA,1653362.8564632854,73016.98006128629,path,0
ASIA,1932121.9771113263,73016.98006128629,path,0
ASIA,2257880.2468213527,73016.98006128629,path,0
ASIA,2638561.783044365,73016.98006128629,path,0
ASIA,3083426.7197046294,73016.98006128629,path,0
ASIA,3603296.46130882,73016.98006128629,path,0
ASIA,4210816.91518987,73016.98006128629,path,0
ASIA,4920766.105048366,73016.98006128629,path,0
ASIA,5750413.648535701,73016.98006128629,path,0
ASIA,6719940.843223771,73016.98006128629,path,0
ASIA,7852931.5796136055,73016.98006128629,path,0
ASIA,9176946.02271352,73016.98006128629,path,0
ASIA,10724191.017075082,73016.98006128629,path,0
ASIA,12532303.52298697,73016.98006128629,path,0
ASIA,14645266.141026657,73016.98006128629,path,0
ASIA,17114476.995238062,73016.98006128629,path,0
ASIA,20000000.0,63727.39091200655,path,0
