JS6277_FSFP220054790-1r_HV3C5DSX2_L4_1.fq.gz  14268492
JS6277_FSFP220054790-1r_HWTNHDSX2_L1_1.fq.gz  107771808
JS6277_FSFP220054790-1r_HWTT7DSX2_L2_1.fq.gz  34673128
JS6278_FSFP220054791-1r_HTY2GDSX2_L1_1.fq.gz  19526812
JS6278_FSFP220054791-1r_HWTNHDSX2_L1_1.fq.gz  110505672
JS6278_FSFP220054791-1r_HWTNJDSX2_L3_1.fq.gz  25930608
JS6279_FSFP220054792-1r_HTY2GDSX2_L1_1.fq.gz  14691364
JS6279_FSFP220054792-1r_HWTNHDSX2_L1_1.fq.gz  115187140
JS6279_FSFP220054792-1r_HWTT7DSX2_L2_1.fq.gz  26098028
JS6280_FSFP220054793-1r_H22KNDSX3_L2_1.fq.gz  8788044
JS6280_FSFP220054793-1r_HTY2GDSX2_L1_1.fq.gz  15321244
JS6280_FSFP220054793-1r_HWTNHDSX2_L1_1.fq.gz  92992872
JS6280_FSFP220054793-1r_HWTNJDSX2_L3_1.fq.gz  26282604
JS6281_FSFP220054794-1r_HTY2GDSX2_L1_1.fq.gz  13584536
JS6281_FSFP220054794-1r_HWTNHDSX2_L1_1.fq.gz  90620828
JS6281_FSFP220054794-1r_HWTT7DSX2_L2_1.fq.gz  46666280
JS6342_DKDN220004094-1A_HKNF7DSX3_L1_1.fq.gz  115513972
JS6342_DKDN220004094-1A_HKNFLDSX3_L1_1.fq.gz  13445744
JS6342_DSFP220004094-1a_HLGLMDSX3_L1_1.fq.gz  4847624
JS6342_DSFP220004094-1a_HLGNNDSX3_L1_1.fq.gz  10459516
JS6343_DKDN220004095-1A_HJTWTDSX3_L1_1.fq.gz  35055380
JS6343_DKDN220004095-1A_HKNF7DSX3_L3_1.fq.gz  200322396
JS6343_DSFP220004095-1a_HJJFMDSX3_L2_1.fq.gz  24160748
JS6344_DKDN220004096-1A_HJTWTDSX3_L2_1.fq.gz  36848400
JS6344_DKDN220004096-1A_HKNF7DSX3_L1_1.fq.gz  144023324
JS6344_DSFP220004096-1a_HJJFMDSX3_L2_1.fq.gz  23464636
JS6345_DKDN220004097-1A_HKNF7DSX3_L1_1.fq.gz  160663464
JS6345_DSFP220004097-1a_HJJFMDSX3_L2_1.fq.gz  22411264
JS6346_DSFP220004098-1a_HJJFMDSX3_L3_1.fq.gz  15050992
JS6347_DKDN220004099-1A_HKNF7DSX3_L1_1.fq.gz  140531992
JS6347_DSFP220004099-1a_HJJFMDSX3_L2_1.fq.gz  22516008
JS6348_DSFP220004100-1a_HLGNNDSX3_L2_1.fq.gz  17159660
JS6349_DKDN220004101-1A_HKNF7DSX3_L2_1.fq.gz  148139652
JS6349_DSFP220004101-1a_HJJFMDSX3_L2_1.fq.gz  22266516
JS6350_DKDN220004102-1A_HKNF7DSX3_L1_1.fq.gz  124302520
JS6350_DSFP220004102-1a_HJJFMDSX3_L2_1.fq.gz  21492300
JS6351_DKDN220004103-1A_HKNF7DSX3_L1_1.fq.gz  129736796
JS6351_DSFP220004103-1a_HJJFMDSX3_L2_1.fq.gz  22228396
JS6352_DKDN220004104-1A_HJTWTDSX3_L1_1.fq.gz  24204568
JS6352_DKDN220004104-1A_HKNF7DSX3_L1_1.fq.gz  170147808
JS6352_DSFP220004104-1a_HJJFMDSX3_L2_1.fq.gz  26427512
JS6353_DKDN220004105-1A_HJTWTDSX3_L1_1.fq.gz  18288308
JS6353_DKDN220004105-1A_HKNF7DSX3_L1_1.fq.gz  123295184
JS6353_DSFP220004105-1a_HJJFMDSX3_L2_1.fq.gz  20274116
JS6354_DKDN220004106-1A_HJTWTDSX3_L1_1.fq.gz  21793596
JS6354_DKDN220004106-1A_HKNF7DSX3_L2_1.fq.gz  132275636
JS6354_DSFP220004106-1a_HJJFMDSX3_L2_1.fq.gz  24680092
JS6355_DKDN220004107-1A_HKNF7DSX3_L3_1.fq.gz  199912560
JS6355_DSFP220004107-1a_HJJFMDSX3_L2_1.fq.gz  22296324
JS6356_DKDN220004108-1A_HJTWTDSX3_L1_1.fq.gz  21142876
JS6356_DKDN220004108-1A_HKNF7DSX3_L1_1.fq.gz  144956172
JS6356_DSFP220004108-1a_HJJFMDSX3_L2_1.fq.gz  22206880
JS6357_DKDN220004109-1A_HKNF7DSX3_L1_1.fq.gz  116648484
JS6357_DSFP220004109-1a_HJJFMDSX3_L2_1.fq.gz  22943336
JS6358_DKDN220004110-1A_HKNF7DSX3_L1_1.fq.gz  141507508
JS6358_DSFP220004110-1a_HJJFMDSX3_L2_1.fq.gz  21681616
JS6359_DSFP220004111-1a_HLGNNDSX3_L1_1.fq.gz  13960780
JS6360_DKDN220004112-1A_HKNF7DSX3_L1_1.fq.gz  117454580
JS6360_DSFP220004112-1a_HLGNNDSX3_L1_1.fq.gz  16041000
JS6368_DKDN220008346-1A_HKWGTDSX3_L3_1.fq.gz  15835340
JS6368_DKDN220008346-1A_HVJMNDSX3_L1_1.fq.gz  153216384
JS6369_DKDN220008347-1A_HKWGTDSX3_L3_1.fq.gz  15729644
JS6369_DKDN220008347-1A_HVJMNDSX3_L1_1.fq.gz  156684812
JS6370_DKDN220008348-1A_HKWGTDSX3_L3_1.fq.gz  16980016
JS6370_DKDN220008348-1A_HVJMNDSX3_L1_1.fq.gz  160258444
