JS6277_raw_2.txt 156713428  JS6277_merged_1.fq.gz                         156713428
JS6278_raw_2.txt 155963092  JS6278_merged_1.fq.gz                         155963092
JS6279_raw_2.txt 155976532  JS6279_merged_1.fq.gz                         155976532
JS6280_raw_2.txt 143384764  JS6280_merged_1.fq.gz                         143384764
JS6281_raw_2.txt 150871644  JS6281_merged_1.fq.gz                         150871644
JS6342_raw_2.txt 144266856  JS6342_merged_1.fq.gz                         144266856
JS6343_raw_2.txt 259538524  JS6343_merged_1.fq.gz                         259538524
JS6344_raw_2.txt 204336360  JS6344_merged_1.fq.gz                         204336360
JS6345_raw_2.txt 183074728  JS6345_merged_1.fq.gz                         183074728
JS6346_raw_2.txt 15050992   JS6346_DSFP220004098-1a_HJJFMDSX3_L3_1.fq.gz  15050992
JS6347_raw_2.txt 163048000  JS6347_merged_1.fq.gz                         163048000
JS6348_raw_2.txt 17159660   JS6348_DSFP220004100-1a_HLGNNDSX3_L2_1.fq.gz  17159660
JS6349_raw_2.txt 170406168  JS6349_merged_1.fq.gz                         170406168
JS6350_raw_2.txt 145794820  JS6350_merged_1.fq.gz                         145794820
JS6351_raw_2.txt 151965192  JS6351_merged_1.fq.gz                         151965192
JS6352_raw_2.txt 220779888  JS6352_merged_1.fq.gz                         220779888
JS6353_raw_2.txt 161857608  JS6353_merged_1.fq.gz                         161857608
JS6354_raw_2.txt 178749324  JS6354_merged_1.fq.gz                         178749324
JS6355_raw_2.txt 222208884  JS6355_merged_1.fq.gz                         222208884
JS6356_raw_2.txt 188305928  JS6356_merged_1.fq.gz                         188305928
JS6357_raw_2.txt 139591820  JS6357_merged_1.fq.gz                         139591820
JS6358_raw_2.txt 163189124  JS6358_merged_1.fq.gz                         163189124
JS6359_raw_2.txt 13960780   JS6359_DSFP220004111-1a_HLGNNDSX3_L1_1.fq.gz  13960780
JS6360_raw_2.txt 133495580  JS6360_merged_1.fq.gz                         133495580
JS6368_raw_2.txt 169051724  JS6368_merged_1.fq.gz                         169051724
JS6369_raw_2.txt 172414456  JS6369_merged_1.fq.gz                         172414456
JS6370_raw_2.txt 177238460  JS6370_merged_1.fq.gz                         177238460
